13,20,26,32,38,62,6645.3,290.05,148.6,129.76,772.31,198.02
6,13,20,27,33,38,257.62,6602.4,385.82,146.62,105.31,863.73
6,13,20,32,38,63,232.63,6599.1,394.97,164.03,777.05,193.06
13,26,38,62,87,10152,6704.3,156.93,784.86,201.83,228.55,228.55
13,32,38,44,62,87,6577.8,156.19,902.83,125.99,264.45,249.82
7,13,19,21,25,38,487.35,6719.7,401.85,183.18,162.46,798.02
7,13,19,21,26,32,379.46,6605.3,489.24,249.16,218.06,145.87
7,13,19,26,31,38,474.12,6675.6,422.05,192.29,131.12,766.26
13,20,25,27,32,38,6691.3,312.34,193.77,117.02,132.35,800.35
13,20,25,27,38,62,6613.7,386.27,231.55,169.7,820.03,200.13
6,13,20,26,32,38,338.72,6750.7,303.68,160.4,107.86,777.22
13,20,38,44,50,62,6616.8,385.45,927.37,138.51,113.29,260.22
13,25,27,31,38,62,6742.6,180.44,112.42,106.97,755.21,220.81
7,13,19,21,26,38,402.35,6693.4,446.76,225.1,172.02,840.21
7,13,19,21,26,31,395.77,6700,470.28,230.64,190.7,140.78
7,13,19,27,38,62,487.73,6784.4,382.58,103.93,796.68,237.12
7,13,33,38,45,62,306.69,6663.4,113.17,893.79,103.59,281.3
13,20,26,32,38,62,6802.5,272.76,126.83,117.77,774.76,227.49
6,13,20,38,44,62,171.49,6684.9,389.49,899.57,135,210.96
6,13,20,32,38,62,277.94,6758.6,339.79,144.2,726.23,201.24
13,26,31,38,62,87,6767.2,160.27,112.88,790.92,192.57,225.91
13,32,38,44,62,87,6696,143.6,782.54,103.74,204.66,258.17
7,13,19,21,25,38,476.01,6821,393.04,166.17,142.32,753.3
7,13,19,21,26,32,310.53,6704.2,484.47,251.16,203.23,125.57
7,13,19,26,38,62,469.39,6832.9,365.62,157.93,755.44,246.28
13,20,25,27,32,38,6774,323.25,218.38,128.35,120.6,865.64
13,20,25,27,32,38,6789.9,332.22,208.68,142.95,144.43,733.34
6,13,20,26,32,38,305.53,6846.3,289.91,167,111.22,750.19
6,13,20,26,32,38,138.36,6730.6,357.52,199.57,153.75,821.27
13,25,38,62,87,10126,6841,154.7,746.18,241.07,213.2,213.2
7,13,19,26,32,38,307.51,6719.7,445.47,173.43,118.26,868.54
7,13,19,21,26,31,422.74,6814,411.27,184.02,163.12,122.32
7,13,19,27,32,38,384.63,6821.7,382.57,116.06,112.77,755.3
7,13,25,27,31,38,341.65,6797.5,197.96,146.25,136.4,738.75
6,13,20,26,32,38,318.69,6913,266.72,131.33,118.53,745.35
6,13,20,38,44,62,124.47,6790.2,365.37,866.14,136.87,328.05
6,13,20,27,32,38,295.26,6903,279.72,104.87,110.34,721.5
13,26,38,62,87,10118,6802.3,166.55,818.74,216.53,238.47,238.47
13,26,31,38,62,87,6831.2,162.7,138.07,680.03,224.93,178.64
7,13,19,21,25,38,440.52,6872.8,393.67,170.15,141.47,727.36
7,13,19,21,26,31,314.62,6806.4,455.68,228.51,166.72,132.98
7,13,26,38,62,87,422.32,6941.5,129.03,702.37,265.05,199.62
13,20,25,27,38,62,6845.1,319.26,213.12,140.07,838.69,307.35
6,13,20,25,27,32,281.48,6948.8,273.4,178.85,108.25,125.38
6,13,20,26,38,62,231.07,6923.3,296.6,177.83,786.66,226.03
6,13,20,26,32,38,203.54,6898,309.4,191.9,159.52,688.22
13,25,38,62,87,10109,6951.6,163.81,709.86,263.67,186.67,186.67
7,13,19,25,32,38,262.13,6831.9,422.56,185.88,121.19,785.54
7,13,19,21,26,38,441.69,6945.7,366.48,146.29,137.02,693.62
7,13,19,25,38,45,276.92,6856.4,400.67,179.81,801.19,102.6
7,13,25,27,38,62,352.97,6925.2,170.6,112.37,647.9,249.06
6,13,20,26,32,38,250.46,6958.7,270.94,151.47,116.6,690.68
6,13,20,26,32,38,177.69,6918.4,317.81,178.54,139.93,692.31
6,13,20,38,62,87,286.12,7010.6,240.52,701.84,275.12,176.78
13,32,38,44,62,86,6893.4,110.07,807.37,126.56,333.91,171.73
7,13,19,26,31,38,358.48,6980.6,324.89,124.82,112.99,671.49
7,13,19,21,27,38,362.13,6915.3,419.01,188.94,106.61,752.66
7,13,19,21,25,31,389.04,6943,405,187.83,153.51,130.82
7,13,26,32,38,62,341,6987.4,128.28,115.65,663.81,257.64
13,20,38,62,87,10096,6934.9,290.27,701.47,280.72,188.91,188.91
6,13,20,25,32,38,279.39,7065.1,253.48,141.88,105.03,647.02
6,13,20,26,38,44,122.81,6980,309.76,174.46,778.85,139.09
6,13,20,26,38,62,249.15,7064.7,246.06,155.97,637.6,285.59
7,13,19,25,38,62,356.92,7028.2,374.83,176.18,726.13,240.95
7,13,19,25,28,31,341.95,7007.9,415.92,196.36,124.79,132.6
7,13,19,26,38,62,449.1,7064.6,365.75,133.41,651.54,266.97
7,13,19,26,31,38,301.48,6955.1,404.08,155.52,124.52,712.5
13,25,32,38,62,86,7059.3,155.06,105.43,633.23,264.81,156.95
6,13,20,26,31,38,135.51,6983,298.38,155.76,102.27,741.43
6,13,20,26,32,38,228.71,7067.4,269.26,155.41,139.9,589.17
13,20,25,38,62,86,7085.9,234.68,155.43,645.36,249.86,164.5
13,25,27,32,38,62,7045.6,185.63,128.41,132.76,622.8,255.65
7,13,19,26,31,38,410.7,7121.4,356.45,106.74,103.21,642.66
7,13,19,21,38,62,305.85,7015.7,448.75,194.09,733.35,342.86
7,13,19,21,31,38,441.24,7103.9,367.06,143.32,104.04,621.95
7,13,26,38,44,62,252.34,7037.9,136.79,701.53,114.41,240.31
13,20,26,32,38,62,7066.3,240.39,134.67,136.56,574.61,247.28
6,13,20,25,32,38,229.16,7102.5,249.07,138.44,106.67,609.18
6,13,20,32,38,62,137.14,7044.4,291.32,131.96,622.88,269.29
13,26,38,62,86,10077,7143.7,114.16,592.85,267.88,189.1,189.1
